vox;algo;r1;ph;wf;ntf;snr;param;evalue;tvalue
7;LQ;2;90;0;0;5;m0est;0.953285;1.000000
7;LQ;2;90;0;0;5;bbya;2.248466;2.000000
8;LQ;2;90;0;0;5;t1est;1.994666;2.000000
8;LQ;2;90;0;0;5;m0est;0.999037;1.000000
8;LQ;2;90;0;0;5;bbya;2.060316;2.000000
9;LQ;2;90;0;0;5;t1est;1.982702;2.000000
9;LQ;2;90;0;0;5;m0est;1.011043;1.000000
9;LQ;2;90;0;0;5;bbya;2.098597;2.000000
10;LQ;2;90;0;0;5;t1est;1.906219;2.000000
10;LQ;2;90;0;0;5;m0est;0.974897;1.000000
10;LQ;2;90;0;0;5;bbya;2.077299;2.000000
1;LQ;2.5;90;0;0;5;t1est;2.318330;2.500000
1;LQ;2.5;90;0;0;5;m0est;0.948928;1.000000
1;LQ;2.5;90;0;0;5;bbya;2.123219;2.000000
2;LQ;2.5;90;0;0;5;t1est;2.324198;2.500000
2;LQ;2.5;90;0;0;5;m0est;0.918338;1.000000
2;LQ;2.5;90;0;0;5;bbya;2.218770;2.000000
3;LQ;2.5;90;0;0;5;t1est;2.574948;2.500000
3;LQ;2.5;90;0;0;5;m0est;1.067451;1.000000
3;LQ;2.5;90;0;0;5;bbya;2.050180;2.000000
4;LQ;2.5;90;0;0;5;t1est;2.360453;2.500000
4;LQ;2.5;90;0;0;5;m0est;0.942741;1.000000
4;LQ;2.5;90;0;0;5;bbya;2.096176;2.000000
5;LQ;2.5;90;0;0;5;t1est;2.379225;2.500000
5;LQ;2.5;90;0;0;5;m0est;0.968241;1.000000
5;LQ;2.5;90;0;0;5;bbya;2.137763;2.000000
6;LQ;2.5;90;0;0;5;t1est;2.608655;2.500000
6;LQ;2.5;90;0;0;5;m0est;0.983469;1.000000
6;LQ;2.5;90;0;0;5;bbya;2.176537;2.000000
7;LQ;2.5;90;0;0;5;t1est;2.650892;2.500000
7;LQ;2.5;90;0;0;5;m0est;1.119052;1.000000
