vox;algo;r2;foffset;ph;wf;ntf;snr;param;evalue;tvalue
1;LG;0.02;0;180;0;0;30;t2sest;0.035714;0.020000
1;LG;0.02;0;180;0;0;30;m0est;0.445729;1.000000
2;LG;0.02;0;180;0;0;30;t2sest;0.041468;0.020000
2;LG;0.02;0;180;0;0;30;m0est;0.351177;1.000000
3;LG;0.02;0;180;0;0;30;t2sest;0.059182;0.020000
3;LG;0.02;0;180;0;0;30;m0est;0.287093;1.000000
4;LG;0.02;0;180;0;0;30;t2sest;0.049442;0.020000
4;LG;0.02;0;180;0;0;30;m0est;0.326362;1.000000
5;LG;0.02;0;180;0;0;30;t2sest;0.046315;0.020000
5;LG;0.02;0;180;0;0;30;m0est;0.382076;1.000000
6;LG;0.02;0;180;0;0;30;t2sest;0.058663;0.020000
6;LG;0.02;0;180;0;0;30;m0est;0.269776;1.000000
7;LG;0.02;0;180;0;0;30;t2sest;0.034938;0.020000
7;LG;0.02;0;180;0;0;30;m0est;0.489869;1.000000
8;LG;0.02;0;180;0;0;30;t2sest;0.056653;0.020000
8;LG;0.02;0;180;0;0;30;m0est;0.256783;1.000000
9;LG;0.02;0;180;0;0;30;t2sest;0.064924;0.020000
9;LG;0.02;0;180;0;0;30;m0est;0.272554;1.000000
10;LG;0.02;0;180;0;0;30;t2sest;0.058910;0.020000
10;LG;0.02;0;180;0;0;30;m0est;0.287040;1.000000
1;LG;0.04;0;180;0;0;30;t2sest;0.039141;0.040000
1;LG;0.04;0;180;0;0;30;m0est;0.953884;1.000000
2;LG;0.04;0;180;0;0;30;t2sest;0.044137;0.040000
2;LG;0.04;0;180;0;0;30;m0est;0.805931;1.000000
3;LG;0.04;0;180;0;0;30;t2sest;0.042669;0.040000
3;LG;0.04;0;180;0;0;30;m0est;0.874919;1.000000
4;LG;0.04;0;180;0;0;30;t2sest;0.041564;0.040000
4;LG;0.04;0;180;0;0;30;m0est;0.916243;1.000000
5;LG;0.04;0;180;0;0;30;t2sest;0.042321;0.040000
5;LG;0.04;0;180;0;0;30;m0est;0.870251;1.000000
6;LG;0.04;0;180;0;0;30;t2sest;0.047397;0.040000
6;LG;0.04;0;180;0;0;30;m0est;0.862011;1.000000
7;LG;0.04;0;180;0;0;30;t2sest;0.047056;0.040000
7;LG;0.04;0;180;0;0;30;m0est;0.835126;1.000000
8;LG;0.04;0;180;0;0;30;t2sest;0.036657;0.040000
8;LG;0.04;0;180;0;0;30;m0est;1.099240;1.000000
9;LG;0.04;0;180;0;0;30;t2sest;0.039199;0.040000
9;LG;0.04;0;180;0;0;30;m0est;0.997675;1.000000
10;LG;0.04;0;180;0;0;30;t2sest;0.040039;0.040000
10;LG;0.04;0;180;0;0;30;m0est;0.935479;1.000000
1;LG;0.06;0;180;0;0;30;t2sest;0.061317;0.060000
1;LG;0.06;0;180;0;0;30;m0est;1.001292;1.000000
2;LG;0.06;0;180;0;0;30;t2sest;0.064151;0.060000
2;LG;0.06;0;180;0;0;30;m0est;0.953358;1.000000
3;LG;0.06;0;180;0;0;30;t2sest;0.061745;0.060000
3;LG;0.06;0;180;0;0;30;m0est;0.960140;1.000000
4;LG;0.06;0;180;0;0;30;t2sest;0.056737;0.060000
4;LG;0.06;0;180;0;0;30;m0est;1.036654;1.000000
5;LG;0.06;0;180;0;0;30;t2sest;0.057763;0.060000
5;LG;0.06;0;180;0;0;30;m0est;1.012425;1.000000
6;LG;0.06;0;180;0;0;30;t2sest;0.056224;0.060000
6;LG;0.06;0;180;0;0;30;m0est;1.098378;1.000000
7;LG;0.06;0;180;0;0;30;t2sest;0.054207;0.060000
7;LG;0.06;0;180;0;0;30;m0est;1.104513;1.000000
8;LG;0.06;0;180;0;0;30;t2sest;0.060499;0.060000
8;LG;0.06;0;180;0;0;30;m0est;1.028368;1.000000
9;LG;0.06;0;180;0;0;30;t2sest;0.058800;0.060000
9;LG;0.06;0;180;0;0;30;m0est;1.025388;1.000000
10;LG;0.06;0;180;0;0;30;t2sest;0.069788;0.060000
10;LG;0.06;0;180;0;0;30;m0est;0.901506;1.000000
1;LG;0.08;0;180;0;0;30;t2sest;0.072288;0.080000
1;LG;0.08;0;180;0;0;30;m0est;1.028785;1.000000
2;LG;0.08;0;180;0;0;30;t2sest;0.075567;0.080000
2;LG;0.08;0;180;0;0;30;m0est;1.040168;1.000000
3;LG;0.08;0;180;0;0;30;t2sest;0.087161;0.080000
3;LG;0.08;0;180;0;0;30;m0est;0.947726;1.000000
4;LG;0.08;0;180;0;0;30;t2sest;0.069941;0.080000
4;LG;0.08;0;180;0;0;30;m0est;1.098511;1.000000
5;LG;0.08;0;180;0;0;30;t2sest;0.078117;0.080000
5;LG;0.08;0;180;0;0;30;m0est;1.046138;1.000000
6;LG;0.08;0;180;0;0;30;t2sest;0.075156;0.080000
6;LG;0.08;0;180;0;0;30;m0est;1.052350;1.000000
7;LG;0.08;0;180;0;0;30;t2sest;0.092502;0.080000
7;LG;0.08;0;180;0;0;30;m0est;0.905890;1.000000
8;LG;0.08;0;180;0;0;30;t2sest;0.099656;0.080000
8;LG;0.08;0;180;0;0;30;m0est;0.900345;1.000000
9;LG;0.08;0;180;0;0;30;t2sest;0.087847;0.080000
9;LG;0.08;0;180;0;0;30;m0est;0.924005;1.000000
10;LG;0.08;0;180;0;0;30;t2sest;0.074521;0.080000
10;LG;0.08;0;180;0;0;30;m0est;1.022650;1.000000
1;LG;0.02;0;225;0;0;30;t2sest;0.052995;0.020000
1;LG;0.02;0;225;0;0;30;m0est;0.246481;1.000000
2;LG;0.02;0;225;0;0;30;t2sest;0.044628;0.020000
2;LG;0.02;0;225;0;0;30;m0est;0.235905;1.000000
3;LG;0.02;0;225;0;0;30;t2sest;0.039541;0.020000
3;LG;0.02;0;225;0;0;30;m0est;0.337385;1.000000
4;LG;0.02;0;225;0;0;30;t2sest;0.053455;0.020000
4;LG;0.02;0;225;0;0;30;m0est;0.293139;1.000000
5;LG;0.02;0;225;0;0;30;t2sest;0.052047;0.020000
5;LG;0.02;0;225;0;0;30;m0est;0.328616;1.000000
6;LG;0.02;0;225;0;0;30;t2sest;0.041611;0.020000
6;LG;0.02;0;225;0;0;30;m0est;0.445223;1.000000
